SetID,Job Code,Eff Date,Sal End Date,Salary SetID,Sal Plan,Grade,Step,Biweekly High Rate,Biweekly Low Rate,Union Code,Extended Step,Pay Type
SFMTA,9520,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,07450,1,3460.00,4206.00,200,0,B
COMMN,9702,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,06280,1,1955.00,2377.00,535,0,B
COMMN,9703,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,06600,1,2287.00,2779.00,535,0,B
COMMN,9704,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,06650,1,2342.00,2847.00,535,0,B
COMMN,9705,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,06850,1,2582.00,3138.00,535,0,B
COMMN,9706,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,07050,1,2847.00,3460.00,535,0,B
COMMN,9708,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,07400,1,3378.00,4106.00,535,0,B
COMMN,9722,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,06850,1,2582.00,3138.00,790,0,B
COMMN,9724,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,07100,1,2918.00,3547.00,790,0,B
COMMN,9770,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,06160,1,1844.00,2242.00,790,0,B
COMMN,9772,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,06630,1,2319.00,2819.00,790,0,B
COMMN,9774,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,06930,1,2685.00,3263.00,790,0,B
COMMN,9775,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,07280,1,3189.00,3873.00,790,0,B
COMMN,9910,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,00000,1,0.00,0.00,790,0,C
COMMN,9912,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,04660,1,899.00,1088.00,790,0,B
COMMN,9914,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,9914F,1,1280.00,1280.00,1,0,B
COMMN,9916,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,9916F,1,920.00,1112.00,1,0,B
COMMN,9920,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,9920F,1,1284.00,1284.00,1,0,B
